,div yield,Trailing annual div yield,exDiv,payout ratio,5 year yield average,52W change,DGR,Years of grow,DGR3y,DGR5y,DGR10y
NEE,2.29,2.2486774,2022-11-23,81.46,2.13,36.67111182745245,11.073225958448395,27,10.796536796536794,11.584371355276748,10.995275691073216
AOS,1.7000000000000002,1.6193181,2023-01-30,75.5,1.69,55.96592676522665,9.799165852234617,29,6.99119767072668,9.656706906529573,18.40817256626468
LOW,1.9,1.6699764999999998,2023-01-24,35.709998,1.64,39.554086725925075,24.463791365891108,24,23.36693836693837,19.01089063006812,20.13025279044185
ANDE,1.9900000000000002,1.8995749,2022-12-30,18.14,2.52,100.31596451917318,12.360869323921447,26,1.9136487229358752,2.3698480319197124,6.112525340524986
GPC,2.12,2.0497805000000002,2022-12-01,42.069998,2.86,62.00153472670582,6.889708314827585,39,5.50639035132047,5.83161198857006,6.125264099872486
SJW,1.9,1.7635370000000001,2023-02-03,73.58,1.92,52.239366648146415,5.711899547706652,43,5.895969498910669,6.299486461251162,7.96372082411673
BRC,1.67,1.6439599999999999,2023-01-09,29.970000000000002,1.85,38.91814576119708,7.89461975547364,31,1.7253089349611894,1.9098154018656508,1.8633057404364362
SBSI,3.5900000000000003,3.4970429999999997,2022-11-22,41.72,3.62,36.148186305277754,12.612880498767039,9,3.5829998603721314,5.016107489527797,5.008575513599594
ADP,2.21,1.9083802,2023-03-09,57.96,1.94,41.10140460352855,13.986744173594897,39,10.109797102336897,13.4260736215975,11.959565864969509
MGRC,1.73,1.7103763,2023-01-13,41.979998,2.23,46.64807815769029,10.3069290099076,32,3.654508118010314,7.404148983434173,6.881825899170029
PPG,1.8800000000000001,1.8001936,2023-02-16,55.88999999999999,1.69,29.8589601344199,7.371499738502574,39,6.919766565784265,7.324535461292191,7.554291950843483
PH,1.6199999999999999,1.3983113999999999,2023-02-09,49.060002000000004,1.63,54.21421844943446,9.085900150626781,37,14.253955131399943,13.95435205224751,12.244147349926212
UMBF,1.6900001000000002,1.63234,2023-03-09,16.82,1.72,32.157579724527174,5.834314322551509,27,7.225599872240193,7.519120607104803,6.0669217055281965
YORW,1.77,1.6738197,2022-12-29,57.32000000000001,1.78,28.898182860460135,4.000917682624752,22,4.075840855638287,4.021965605205993,3.852830506146257
ADM,2.16,2.0046167,2023-02-08,20.75,2.73,41.66478810937285,22.159489403610824,24,4.581009581009581,4.581628136665454,8.827154920463055
CNI,1.9800000000000002,2.4479907,2023-03-09,39.380002,1.68,31.517426795590936,15.598336600011057,24,19.444157938372403,15.679314094411348,13.79792141060106
LECO,1.50999995,1.3011909,2022-12-29,30.23,1.82,49.759895484268576,12.194152115874068,27,6.923622186780094,10.10268279716291,12.692338075729946
ABM,1.8399999999999999,1.6270338,2023-01-04,22.870001000000002,1.92,42.05256464039833,6.402325792656429,39,6.051598156861323,4.758662130107321,3.8595575275394807
LANC,1.76,1.7183976,2022-12-02,91.43,1.75,85.22709659562463,26.316432641652355,6,7.040696906716737,7.6348489830323105,19.91976506273098
TNC,1.5,1.404889,2022-11-29,37.169999999999995,1.32,54.92510708789139,4.258450906010988,35,4.911021522902954,3.8905905047781886,3.965191821198708
AWR,1.6400000000000001,1.5107331,2022-11-14,69.1,1.6,42.44349239616165,4.638655923920517,20,9.573275862068968,8.958725776912617,9.233658900556938
RPM,1.82,1.7538162,2023-01-19,39.32,1.96,44.203275782722216,6.610780427547056,36,4.79265365110114,5.111529606068617,6.218901310008735
BANF,1.8499999999999999,1.7840376000000002,2022-12-29,26.340000000000003,2.05,58.691028218683414,9.959407141469228,26,7.027882511753487,14.030454997248167,10.714316697713285
ERIE,1.96,1.8209408999999999,2023-01-04,80.58,2.13,82.72081497626212,12.301815435862544,2,0.9213880745265239,8.025848717731783,7.62138235109277
CWT,1.63,1.53942825,2023-02-03,67.120004,1.63,37.680106748281496,3.369419443877849,25,6.892290943730013,6.714355868623568,4.998114170089594
CB,1.5599999999999998,0.0,2022-12-15,26.22,1.97,33.7138626508931,11.183412911405055,28,3.3543386746212938,3.131703229228635,5.714396912989059
TRI,1.48,1.4364732,2022-11-16,79.82000000000001,2.12,34.655312903904004,5.1784403123921985,18,7.3370153779510545,5.271774444161936,3.3938110823149676
DCI,1.46,1.4249922,2023-02-09,32.729998,1.57,41.324712211224245,13.080979168570622,35,3.536051370365923,5.1150580522665035,10.685288206115851
WMT,1.55,1.5527086,2022-12-08,68.62,1.8,37.42645201335372,22.815660868807914,40,1.8522753742879665,1.8881374719332507,3.5782948855304824
BDX,1.43,1.4005715,2023-03-09,64.68,1.29,27.58121346261591,10.048964689917778,39,4.986454184910823,4.065908332270136,6.917199905607122
CBSH,1.6099999999999999,1.4988848000000001,2022-12-01,26.549998000000002,1.53,20.693727591160805,10.54133101144065,9,3.9713953192521907,6.480121152374016,-1.353443507184375
ATR,1.2999999,1.2958227,2023-02-01,42.700002,1.27,34.868879815039065,12.922526921702604,30,1.8333333333333435,2.8968416559965866,4.313194088982004
