,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,IBM,IBM,IBM,IBM,IBM,IBM,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,F,F,F,F,F,F,GM,GM,GM,GM,GM,GM,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return
9,50,105,9,5.979963925992193,22,1383.426367259575,50,105,9,5.025633974296054,16,1127.400283319557,50,105,9,1.2261565898986975,24,20.232421420404844,50,105,9,1.3661686775583948,4,157.9049531899038,50,105,9,2.0200322147429994,8,54.49889659767462,50,105,9,1.4464662031937254,11,5.554472084124697,50,105,9,0.9381397556665008,4,0.9526177538182468,50,105,9,0.9189022318069607,9,7.812451399528889,50,105,9,2.9595268018703127,11,370.3855468120318
10,50,110,1,1.2599413136434408,14,1383.426367259575,50,110,1,0.9324065364700066,11,1127.400283319557,50,110,1,0.9552306895753901,23,20.232421420404844,50,110,1,1.0,0,157.9049531899038,50,110,1,1.0797176004289464,7,54.49889659767462,50,110,1,0.9990779189750433,9,5.554472084124697,50,110,1,0.9870959070383298,2,0.9526177538182468,50,110,1,0.9978025717696972,7,7.812451399528889,50,110,1,1.0465001480622065,4,370.3855468120318
11,50,110,3,1.8275949529665971,24,1383.426367259575,50,110,3,1.0006847582019538,15,1127.400283319557,50,110,3,1.0740011576434527,28,20.232421420404844,50,110,3,0.9705614468591429,3,157.9049531899038,50,110,3,0.9698689019837954,10,54.49889659767462,50,110,3,1.0658112431008817,12,5.554472084124697,50,110,3,0.9741899485127387,4,0.9526177538182468,50,110,3,1.0541565894979843,8,7.812451399528889,50,110,3,1.3316115425252337,11,370.3855468120318
12,50,110,5,2.0128534851418483,25,1383.426367259575,50,110,5,1.3115981363558882,16,1127.400283319557,50,110,5,1.0672278650156555,29,20.232421420404844,50,110,5,1.0715809484187815,3,157.9049531899038,50,110,5,1.1339234588138105,11,54.49889659767462,50,110,5,1.1558966624800908,13,5.554472084124697,50,110,5,1.0165275092561343,4,0.9526177538182468,50,110,5,1.118829030869017,10,7.812451399528889,50,110,5,2.3064658598057033,11,370.3855468120318
13,50,110,7,5.5728578311860755,25,1383.426367259575,50,110,7,1.0434102291476077,16,1127.400283319557,50,110,7,0.8518221849296611,27,20.232421420404844,50,110,7,1.0876738234082872,4,157.9049531899038,50,110,7,1.5554629809421694,10,54.49889659767462,50,110,7,1.8454368278328495,14,5.554472084124697,50,110,7,1.0230767785027117,4,0.9526177538182468,50,110,7,1.0615021661969712,10,7.812451399528889,50,110,7,3.0234047766401666,11,370.3855468120318
14,50,110,9,7.971671825552005,23,1383.426367259575,50,110,9,5.025633974296054,16,1127.400283319557,50,110,9,1.1509551058866254,25,20.232421420404844,50,110,9,1.3661686775583948,4,157.9049531899038,50,110,9,1.838570678294359,9,54.49889659767462,50,110,9,2.343771789823099,13,5.554472084124697,50,110,9,0.9381397556665008,4,0.9526177538182468,50,110,9,0.9189022318069607,9,7.812451399528889,50,110,9,2.9595268018703127,11,370.3855468120318
15,50,115,1,1.182090845540648,15,1383.426367259575,50,115,1,0.9324065364700066,11,1127.400283319557,50,115,1,0.9646288977500642,25,20.232421420404844,50,115,1,1.0,0,157.9049531899038,50,115,1,1.0797176004289464,7,54.49889659767462,50,115,1,0.9990779189750433,9,5.554472084124697,50,115,1,0.9870959070383298,2,0.9526177538182468,50,115,1,1.003963713733262,8,7.812451399528889,50,115,1,1.0465001480622065,4,370.3855468120318
16,50,115,3,1.7146697547450114,25,1383.426367259575,50,115,3,1.0006847582019538,15,1127.400283319557,50,115,3,1.0475411553345275,30,20.232421420404844,50,115,3,0.9705614468591429,3,157.9049531899038,50,115,3,0.9698689019837954,10,54.49889659767462,50,115,3,1.0658112431008817,12,5.554472084124697,50,115,3,0.9741899485127387,4,0.9526177538182468,50,115,3,1.064378638801196,9,7.812451399528889,50,115,3,1.3316115425252337,11,370.3855468120318
17,50,115,5,1.8884813541991086,26,1383.426367259575,50,115,5,1.3115981363558882,16,1127.400283319557,50,115,5,1.0326398305728173,31,20.232421420404844,50,115,5,1.0715809484187815,3,157.9049531899038,50,115,5,1.1339234588138105,11,54.49889659767462,50,115,5,1.1558966624800908,13,5.554472084124697,50,115,5,1.0165275092561343,4,0.9526177538182468,50,115,5,1.0968874178041665,11,7.812451399528889,50,115,5,2.3064658598057033,11,370.3855468120318
18,50,115,7,5.003623368980286,26,1383.426367259575,50,115,7,1.0434102291476077,16,1127.400283319557,50,115,7,0.7671658978045176,29,20.232421420404844,50,115,7,1.0876738234082872,4,157.9049531899038,50,115,7,1.5554629809421694,10,54.49889659767462,50,115,7,1.8454368278328495,14,5.554472084124697,50,115,7,1.0230767785027117,4,0.9526177538182468,50,115,7,0.9973883062921037,11,7.812451399528889,50,115,7,3.0234047766401666,11,370.3855468120318
