,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score
AEHR,0.0,,0.062080497417071966,42.06548330756971,18.94973487338275,62.64177638778738,17.419354838709676,0.7338225889773036,0.043927876966590056,0.11030728846642363,68.93442735973638,35.75608729135818
AEL,0.0,,0.042406731915903176,-1.4382398803291307,,,13.548387096774194,6.5828716259786155,0.055064521831359375,0.2881822417523032,55.35995492829163,15.83800580132231
AEM,0.0,25.027522935779814,0.19406624665250574,33.555540226774134,15.335266270128658,47.388280674168264,32.90322580645161,36.66296678319486,0.3204878911083613,0.04370189740931224,43.32141627447222,37.26229762002218
AEO,0.0,21.847562992759517,0.14115882390749296,6.836330691345789,15.48450248409404,18.547755115784053,19.35483870967742,5.957807697708557,0.06867597666607743,0.08366004357988324,43.203884203499754,20.877170910955968
AEP,0.0,29.286652547630084,0.422919637820399,16.300243464963444,26.045908129113595,12.972883871696109,40.0,60.81206601479483,0.26975428672441226,0.08166297308802502,13.747901967220894,31.736506808420916
AER,35.0,,0.16922032172557402,27.753294692123156,12.607520714808441,44.147192524634065,11.612903225806452,22.942788275875905,0.6626303694537741,0.03260993005187275,57.12017586646376,35.940395918803894
AERT,0.0,,0.0021269520783231233,29.940843520078744,11.84609029065927,21.153465918680297,1.9354838709677418,0.052784678973651966,,,-29.96863329112832,7.600469987023849
AES,0.0,27.94088610546237,0.13612515820505286,15.75368815595307,10.247318181936933,-3.1564571091053875,21.29032258064516,16.59549833979479,-0.0018676686857393332,-0.11774724542807666,42.580340641391366,20.836207482566596
AESI,0.0,29.714285714285715,0.016647368823861985,45.53040394396529,15.594095140822919,67.51761182016992,0.6451612903225806,2.526376705890381,0.052589711861410635,0.09151334342893933,,28.872979471351968
AEVA,14.0,,0.0037134004272173803,20.248440322592494,-2.3617683318917804,-27.838042106033008,2.5806451612903225,0.3472182211104024,-0.0014896881183873254,-0.007897405207875633,-31.812369294603563,-4.210432156005793
AFJK,0.0,,0.010480478396929345,,,,0.0,0.13774034105662572,,,,0.06737309975161594
AFL,52.5,20.74412105488197,0.21280499577180398,-4.840175305366992,,,28.387096774193548,70.0,0.4516528195156443,0.05384847672162027,52.90010582353389,43.217540125343426
AFMD,0.0,,0.0009396126497113909,24.359858282919635,,,6.451612903225806,0.12808004128814124,-0.0019121369877807461,-0.0039800062577253475,-16.858465956855017,2.9949218595708023
AFRM,0.0,,0.7978911469422022,37.9773659379476,25.04087069163664,44.1139067253021,1.9354838709677418,18.350343031024096,-0.006781416061315436,-0.07957818604275356,68.73624666043408,33.36707601053396
AG,0.0,3.246620588551713,0.05183361490741062,32.33236594590193,6.575374756160266,-23.346827634672522,11.612903225806452,2.0912561241971934,-0.0012895807592009682,-0.04971222261521431,45.29533152852365,12.350453388254232
AGCO,0.0,6.703542024408011,0.10401340945827121,19.580858668947386,9.759012468479401,32.05038859540666,20.64516129032258,13.611141122073922,0.9521831359377763,0.0363660294047384,57.487228332621655,25.54442779000959
AGEN,0.0,,0.007532563528126163,43.5907238188682,-10.396470654183354,-32.386276439473036,15.483870967741934,0.33601209121548425,-0.0018009662326772145,-0.004339653360567175,-19.032612319577034,-0.40734925279202117
AGFY,0.0,,0.0051166105227433,47.42541762644507,-4.338695052490049,55.69527893388236,1.9354838709677418,0.0018139895430861312,5.40931589181545,3.755035564049884e-05,-32.90644184624743,12.411411453355019
AGI,0.0,5.696429594758947,0.0409445091002206,4.840345717332437,13.430823064984082,-12.115609699004196,13.548387096774194,7.250779250298205,0.031553827116846386,0.1097217058551492,63.45117466057633,15.28326186155432
AGIO,0.0,,0.03173331751142653,,,,7.096774193548387,1.805746261276246,-0.008760255502158303,-0.032725801096641444,-23.500659251750406,-3.4780694133364634
AGL,0.0,,0.08052425418310123,38.317094530133204,2.0030590030374817,21.667038989137907,1.9354838709677418,3.9702970857420117,-0.0004891513224555397,-0.1773798999721472,-29.37622345520717,6.511763597745708
AGNC,0.0,36.69189189189189,0.19596634960043396,-23.8643642670895,,,10.32258064516129,10.136443276622034,0.00309351246243592,0.8990288268845383,-21.344888248140016,2.5568141151751185
AGR,0.0,31.6734693877551,0.03397872916132095,13.01425521960509,15.955061713851544,3.159635652022221,5.806451612903226,17.37570479654619,0.08476224147074421,0.10096554704017804,-18.507305412134606,10.904282458447781
AGRO,0.0,25.163636363636364,0.008645386928333939,29.409641415168295,17.525104973955212,31.195390466600692,8.387096774193548,1.588897128950277,0.08476224147074421,0.03348640008821685,48.527172097256965,25.702195753690262
AHCO,0.0,,0.00872337115108064,42.88839963919162,6.358959258047312,61.45293324686276,3.8709677419354835,1.4217201794963028,-0.007537377196019452,-0.0122717322239656,61.863771679890846,30.14333322155177
AHG,35.0,,0.0006711540368104368,,,,4.516129032258064,0.052090919708532885,-0.0018009662326772145,-0.011224338765300535,-25.904159480116473,3.2504062668783216
AHT,0.0,,0.0014242266934007264,39.96046375820444,3.2773307432330867,-26.331144292822007,13.548387096774194,0.08085115007217747,-0.014385495710397007,-0.0013063541518899718,-31.839277505023126,-0.22333163944578244
AI,0.0,,0.2629303935950724,22.200149694227946,29.85584559137485,25.57129566359448,2.5806451612903225,4.580170406542045,-0.005113854734762459,-0.06630333427931033,26.217897995631812,18.847036901227536
AIG,52.5,18.179529221242,0.3501837784623514,15.014861730800009,,,32.90322580645161,70.0,0.35637263567261795,0.05552772211088844,53.72776561151473,47.66420911887337
AIMD,0.0,,0.0035488985074953626,49.75877789635216,20.786591023462506,69.83040669609399,1.9354838709677418,0.007307149593801216,-0.004335659449037738,-0.0031970161182895964,-32.11051682679887,18.678655259764664
AIRC,0.0,30.899628252788105,0.058277189740256995,3.5721277058283762,27.48448519162328,6.083603275769399,2.5806451612903225,7.383035893951705,0.40091921513169526,0.023865394606877567,10.278673513852933,14.089723935648085
AISP,0.0,,0.003631844596261067,12.540328922293291,24.270610975446473,31.59769803405873,1.9354838709677418,0.06473799754640143,,,-30.505854800312147,8.675355835781904
AIV,0.0,,0.009663470238283664,13.16851910944456,26.006851026511725,22.917116008094602,19.35483870967742,1.6770238774455755,-0.0031572494449403016,-0.03233601690065799,41.57910126397799,21.131800033736365
AJG,62.22222222222223,6.382666963694401,0.2896645703781838,11.303792132887992,16.794457055619063,30.199253670905158,25.806451612903224,70.0,0.32234399858582286,0.21220944768615926,61.243898563178675,45.20269210127952
AKAM,35.0,,0.2017263931200839,6.43996095532084,26.87114586864392,5.432142476644813,16.129032258064516,28.037928581152805,0.2041718225207707,0.17343778466022958,56.6849847736835,29.690598459968047
AKBA,35.0,,0.004491600150560269,4.960895687656581,14.458133458035638,-34.583606541212816,6.451612903225806,0.41595366756914837,-0.0006892586816418969,-0.02842508282592162,-12.658199769897891,2.37629943457957
AKR,35.0,28.34285714285714,0.03391990278858104,15.48912741179116,27.531796338108492,32.614834149747324,20.0,2.8002134948080113,0.014848859819692415,0.3306613226452906,1.6020019043661096,25.993692147132037
AKRO,0.0,,0.023736908884366675,,,,3.225806451612903,1.830006014389669,-0.005091620583741754,-0.05724787869022391,61.108163838521676,15.74413659860349
AKTS,0.0,,0.0006250805168850854,46.79121879519151,-8.878258185275271,65.92419232488733,5.806451612903226,0.07671054782387278,-0.0021122443469671027,-0.004445955704500361,-22.766033763519403,14.73700817160622
AL,0.0,17.763740063599798,0.037368562042031324,7.493738811751034,16.579239842706713,5.4750673077826235,8.387096774193548,6.86398130369774,0.27594131164928404,0.042679356643608,43.7391814770026,16.929846795407776
ALB,0.0,9.898141154646515,0.4668848244708717,41.17441053738408,15.222802143490206,62.89435706812074,19.35483870967742,21.449699138020154,1.745359731306346,0.01994936892026356,60.21912326863169,36.89612157851877
ALC,0.0,2.6936588128409267,0.09759286497769633,14.513525551573746,22.528802285110324,42.53872257150524,3.225806451612903,56.53912570201114,0.056301926816333746,0.3889774477102981,46.485614917288004,30.01081405261057
ALDX,0.0,,0.0025311676276682828,,,,6.451612903225806,0.26505372164100516,-0.0017342637796150951,-0.02305540469920382,-16.042094874677176,-2.225639702538456
ALEC,0.0,,0.006135941958123282,48.84056299672149,,,3.225806451612903,0.877602490392652,-0.003802039824540785,-0.021558825797676557,-22.14611764602554,6.548644546603703
ALGM,0.0,,0.062403453973809565,17.588392573789786,21.685570239105132,41.436487130154845,2.5806451612903225,8.253730783780005,0.08043132402333392,0.10156407489535282,33.75066556935066,21.27794751023106
ALGN,0.0,,0.2751796648729259,28.347582614575657,29.5034717221722,40.60823136079567,14.838709677419354,29.5726682683214,0.2926462789464381,0.2513434740679928,59.73716303912243,34.47915188140578
ALHC,0.0,,0.0074363262096093325,24.25524390539539,5.48364659792782,15.412304989517144,1.9354838709677418,2.1018192987305,-0.0019121369877807461,-0.05157976586193972,-27.26689434776422,3.707720125107502
ALIT,35.0,,0.11593976898025894,16.360180460596716,13.606349616541888,30.04057520221766,2.5806451612903225,7.347334544223134,-0.0011784100040974365,-0.10122627685857977,-19.05033368267381,14.559031590561608
ALK,0.0,,0.16027415601546222,41.4066219239291,3.5455107855783474,-31.881096274664593,28.387096774193548,6.889496110291195,0.12435920098992398,0.08241511726092829,-18.660432917669084,5.093939809478785
ALKS,52.5,,0.06383651263071669,3.7385176354445937,32.00469506703204,3.3052089105160274,21.29032258064516,7.04846109178877,0.07671910906841081,0.10487476193080952,1.7681698245792719,20.661153473497592
ALL,52.5,19.944615255059396,0.366585450883622,12.048843226424658,,,20.0,61.87485022346472,-0.01778732081656508,-0.11795490875183162,49.72166073025262,42.41584561892483
ALLE,0.0,11.44640021035589,0.13128797005268072,10.378401153382066,18.59864397567037,8.431131846848483,7.096774193548387,16.20926024548199,0.3910199752519003,0.08995351950249086,51.099701287710715,19.662313393302373
ALLK,0.0,,0.005724890175270958,,,,3.8709677419354835,0.15241247955111903,-0.0034018251061680715,-0.004544777815215602,-20.260034892272802,-3.8663991389362655
ALLO,14.0,,0.017141259470942815,,,,3.8709677419354835,0.7987004714912276,-0.004891513224555397,-0.008610145682211755,-29.308796314782562,-2.532259166855161
ALLY,35.0,25.118540128786634,0.26702198851509673,12.235162118296547,,,6.451612903225806,16.57270742990861,0.18499204525366802,0.056423626775031904,55.249443193046396,29.634490869374076
ALNY,0.0,,0.14777544798990203,37.764154380134116,32.36352769382378,52.652144219887504,12.903225806451612,34.908614269800864,-0.00913823606951031,-0.2701128581693582,60.87113680356236,39.20869958091717
ALPN,35.0,,0.01576933432634833,44.0180117481203,,,5.806451612903226,1.6196130632697312,-0.002868205481671119,-0.08624508598176585,67.09727527821306,32.652767605397706
