,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
ADC,0.0,74.07314030671195,0.2306145941072743,62.556344793594974,66.68725017893966,63.1274505543128,48.38709677419355,12.79118119789809,0.1502563196040304,0.267956727935509,12.228951228029235,45.29860278479074,Real Estate
ADCT,21.249999999999996,,0.005669860862518039,,,,6.451612903225806,0.36337689390625616,-0.006924349889305692,-0.009624045080860311,-45.56750192532858,-5.807094306400259,Healthcare
ADEA,0.0,33.540171821393336,0.020012048190499197,-9.368084636430904,84.67335119167927,-6.333457224819441,33.87096774193549,2.8009590673257145,0.10252784161216191,0.08093109295514103,-14.623429197860924,13.383003618420764,Technology
ADI,53.124999999999986,36.028973900507594,2.2056538199929787,63.503522519833936,54.26555511701706,62.11344797401384,70.96774193548387,100.0,0.5780449001237405,0.2337066511286511,83.21560595452905,79.92870870101736,Technology
ADM,0.0,64.31097246058481,1.398371958545489,54.56419749028252,5.448594251597762,61.15690248425937,70.96774193548387,60.2344548961686,0.6354958458546933,0.05641967576964135,76.42862459651903,57.69729117274489,Consumer Defensive
ADMA,70.83333333333334,,0.059650648648464415,88.23888086221048,-4.700732639491044,99.32786464994662,17.741935483870968,2.4485693500943393,-0.0003493938017539569,-0.4586628237887063,91.70767761362339,63.57327531110985,Healthcare
ADN,0.0,,0.0006119415837915402,97.23838466184681,15.413853253743099,89.74199969589719,8.064516129032258,0.025461396921413863,-0.005558537755176587,-0.0009339854231288885,-43.9345056990897,25.271976467107677,Utilities
ADNT,0.0,,0.09125326687945103,13.736923377209049,4.370966824801196,47.519637942032006,12.903225806451612,6.684223786158679,0.19003005126392078,0.12239147346571495,86.89824764061102,31.17549174969372,Consumer Cyclical
ADP,21.249999999999996,51.94142901580222,1.3038908859768583,14.365493455365677,36.50257233723196,18.92850945221548,70.96774193548387,100.0,0.744210712391727,0.21826953743042452,75.10317640006488,58.18815687363934,Industrials
ADPT,0.0,,0.02189431774380178,69.50189577285289,58.90061917731777,60.43893914709479,8.064516129032258,1.2829557336411535,-0.004319777912594377,-0.030339330350496404,-35.95261170037235,23.535508461904584,Healthcare
ADSK,53.124999999999986,,1.0870712263958866,33.62000336133235,67.80855934588936,33.95920937038907,62.903225806451616,100.0,0.37475693830652285,0.45930031325350257,83.56443097166687,72.73714115496416,Technology
ADT,0.0,50.1697108223408,0.048201536312973615,21.743647005348077,58.23329646389279,15.290037061827592,9.67741935483871,12.223881424643789,0.00618702492487184,0.680481842806492,31.74152624183253,27.269244285232517,Industrials
ADTN,0.0,76.62639923743636,0.016415769187514043,75.28195399507815,33.6890698833129,53.47425437151485,48.38709677419355,1.1668668572246732,-0.0034939380175395694,-0.06275960618574179,25.688045609672038,41.44585234425109,Technology
ADV,53.124999999999986,,0.008504890419306979,29.146344061257473,13.824593827739578,-5.9218784967613045,6.451612903225806,2.745378951454132,-0.014992170402533422,-0.008297340561238889,-33.676185431183825,9.176294378261773,Communication Services
ADVM,53.124999999999986,,0.0022109322904414453,,,,16.129032258064516,0.1970495382885675,-0.004002147183727143,-0.007207558659536815,88.91000980257317,40.1547353266914,Healthcare
