,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
AER,2,,Industrials,119139901.31540933,26.40459917749556,29.092705840612428,32.02810430055262,18.0,15274748928.0,10.71,7.051353874883286,17.89740454637028
AERT,0,,Industrials,1497484.8063755035,29.465548349344118,27.497625558208014,13.741983842758398,3.0,35142752.0,,,-35.383701254836566
AES,0,4.0599998,Utilities,95839186.15516663,14.289812423215087,24.135454864841275,-2.6720709716010314,33.0,11048878080.0,-0.84,-19.642857142857142,8.880576262344645
AESI,0,4.760000000000001,Energy,11720612.859090168,117.12098384932959,35.38430066432704,280.3289603260666,1.0,1682000000.0,0.85,19.788235294117648,
AEVA,1,,Technology,2614426.895847321,18.276294425310947,-7.019126518254883,-80.35355660831398,4.0,231169424.0,-0.67,-1.3174626865671641,-58.09359642737051
AFJK,0,,,7378801.489181519,,,,0.0,91704160.0,,,
AFL,4,2.35,Financial Services,149825777.05291748,-6.2200783153491255,,,44.0,49672302592.0,7.3,11.643835616438356,13.872364151887789
AFMD,0,,Healthcare,661536.1395120621,22.38970035598812,,,10.0,85272568.0,-0.86,-0.663953488372093,-6.355197339275276
AFRM,0,,Technology,561756835.9271494,47.8453092738915,57.84927245460491,31.98733972322933,3.0,12217210880.0,-3.05,-13.275409836065576,158.89286812071904
AG,0,0.43,Basic Materials,36493558.82270813,33.44801782096313,16.1978312534594,-43.471649625535335,18.0,1392307328.0,-0.58,-8.293103448275861,9.849282585475345
AGCO,0,0.9599999499999999,Industrials,73230846.10626222,17.659352133021244,23.101443607202366,20.84916879424209,32.0,9061965824.0,15.39,7.8635477582846,18.367344505689545
AGEN,0,,Healthcare,5303316.210734844,84.24444309647205,-42.41147140315829,-243.67797390554017,24.0,223708656.0,-0.81,-0.7239506172839506,-7.965294758412533
AGFY,0,,Industrials,3602359.731578827,196.2808007106599,-13.705188976256203,55.38761404849537,3.0,1207710.0,87.43,0.008119638567997254,-90.3895917827813
AGI,0,0.83,Basic Materials,28827062.399272915,4.9004150323120665,30.818013235915412,-12.948884384231206,21.0,4827392000.0,0.51,23.72549019607843,33.03212853038334
AGIO,0,,Healthcare,22341904.79115804,,,,11.0,1202221824.0,-3.94,-5.459390862944163,-13.020718270190514
AGL,0,,Healthcare,56693260.0,49.09988954607357,5.347124341922221,14.053556844944936,3.0,2643326976.0,-0.22,-29.59090909090909,-31.23254760283318
AGNC,0,14.799999999999999,Real Estate,137970495.0,-408.5741811175337,,,16.0,6748596736.0,0.05,194.4,-10.191435606646916
AGR,0,5.88,Utilities,23922791.29257202,11.9778934777637,36.1547268647555,2.397264128138976,9.0,11568320512.0,1.37,21.832116788321166,-7.5407935868019775
AGRO,0,3.3000000000000003,Consumer Defensive,6086801.7208099365,28.67887210171385,39.550309152039205,20.234045157221708,13.0,1057848960.0,1.37,7.240875912408758,11.256260286292349
AHCO,0,,Healthcare,6141706.666666666,76.68809557599026,15.714344808479678,88.04288151937332,6.0,946546624.0,-3.39,-2.0471976401179943,27.080876651651295
AHG,2,,Healthcare,472527.32353687286,,,,7.0,34680864.0,-0.81,-1.872469135802469,-17.682170161045615
AHT,0,,Real Estate,1002729.6129226685,56.268271883748,8.52963458790516,-63.82550336608117,21.0,53828724.0,-6.47,-0.21792890262751158,-58.62025241916083
AI,0,,Technology,185116662.26790112,20.15223986687049,73.34397722822948,16.472990780114095,4.0,3049365760.0,-2.3,-11.060869565217393,4.966295743492064
AIG,4,2.08,Financial Services,246547579.99999997,13.661678988719405,,,51.0,48553086976.0,5.76,12.006944444444445,14.508232832768888
AIMD,0,,Healthcare,2498608.9947700496,1990.8373471938257,46.95523829478509,3953.00582808506,3.0,4864922.0,-1.95,-0.5333333333333333,-64.47516623824446
AIRC,0,5.38,Real Estate,41030170.39438884,3.6982597235777903,65.14501665706496,4.436743568641388,4.0,4915445248.0,6.48,5.160493827160493,2.105074059034425
AISP,0,,Technology,2557007.3521852493,11.58079129486531,55.73288240943111,20.521721856446696,3.0,43100980.0,,,-40.08635703966801
AIV,0,,Real Estate,6803585.28345426,12.107209080758341,60.61860960177623,14.8172868906022,30.0,1116521600.0,-1.42,-5.394366197183099,8.560034331631588
AJG,9,0.9199999999999999,Financial Services,203938912.16796875,10.544033104737071,37.96009077826816,19.534350321970884,40.0,51617845248.0,5.21,45.88675623800384,25.3333983561448
AKAM,2,,Technology,142025865.00228882,6.358229379413838,63.21967774880596,3.9945190702869393,25.0,18666969088.0,3.3,37.50303030303031,17.372163438410364
AKBA,2,,Healthcare,3162319.9461460114,5.012373628042805,32.97784030024556,-1593.7043797473425,10.0,276931808.0,-0.31,-4.741935483870968,-4.052111459678025
AKR,2,4.2,Real Estate,23881374.468803406,14.064339521128,65.29648519559599,21.26329133638587,31.0,1864313856.0,0.24,71.5,0.366085134621725
AKRO,0,,Healthcare,16712017.523536682,,,,5.0,1218373376.0,-2.29,-9.550218340611353,24.98257162037429
AKTS,0,,Technology,440089.1709486643,159.44929824378377,-33.56014702927822,174.7377028250101,9.0,51072012.0,-0.95,-0.7416842105263158,-11.94987573617088
AL,0,2.0399998999999998,Industrials,26309409.81903076,7.290391496892323,37.495184179360486,4.023853867776733,13.0,4569871360.0,4.46,9.228699551569505,9.274724116156673
ALB,0,1.3099999,Basic Materials,328711181.6471354,63.15973425484326,34.594992781581034,104.19860758587296,30.0,14280686592.0,28.21,4.313718539524991,22.9198361039265
ALC,0,0.31,Healthcare,68710449.099528,13.237863890786771,51.20126778696295,30.14746053193419,5.0,37642371072.0,0.91,84.10989010989012,10.32986505592771
ALDX,0,,Healthcare,1782073.5612487793,,,,10.0,176466304.0,-0.78,-3.846153846153846,-5.837527578299971
ALEC,0,,Healthcare,4320022.039394379,423.03065747950154,,,5.0,584286336.0,-1.71,-3.5964912280701755,-11.13742330684382
ALGM,0,,Technology,43935274.867502846,15.875595193522042,49.114893862192304,28.95357394734465,4.0,5495132672.0,1.3,21.96153846153846,6.5052422162355645
ALGN,0,,Healthcare,193740785.87402344,27.19195104084572,72.0390460244561,28.100742629287794,23.0,19688761344.0,4.73,54.34883720930232,21.947078958278883
ALHC,0,,Healthcare,5235560.136795044,22.276568130054375,13.734243138152692,10.296104302111603,3.0,1399340032.0,-0.86,-8.604651162790699,-21.572091612662547
ALIT,2,,Technology,81627623.05369058,14.809384164222884,31.186306895428146,19.424460431654666,4.0,4891676160.0,-0.53,-16.886792452830186,-7.980064092117868
ALK,0,,Industrials,112841335.69997151,64.68824193084369,9.181289446018445,-202.15286251507428,44.0,4586858496.0,2.01,17.82089552238806,-7.661942689784451
ALKS,4,,Healthcare,44944222.64175415,3.858685760577446,82.13309413522477,2.502397947945517,33.0,4692693504.0,1.24,22.67741935483871,0.40299651602357595
ALL,4,2.26,Financial Services,258095209.82218426,11.169000168319076,,,31.0,41194766336.0,-8.0,-19.6775,11.871490053706353
ALLE,0,1.46,Industrials,92433554.29463704,9.764924938991793,41.92578590267786,5.9829813382483055,11.0,10791730176.0,6.32,19.450949367088608,12.66510000366182
ALLK,0,,Healthcare,4030620.220835209,,,,6.0,101472512.0,-1.53,-0.7581699346405228,-9.065757311958471
ALLO,1,,Healthcare,12068337.543417612,,,,6.0,531755296.0,-2.2,-1.4363636363636363,-30.81438535875327
ALLY,2,3.2899998,Financial Services,187997357.74243674,11.325126216857228,,,10.0,11033704448.0,2.99,12.200668896321067,15.847889604502985
ALNY,0,,Healthcare,104041595.6595866,47.09054498329158,83.76377670953619,46.55508979009389,20.0,23241304064.0,-4.11,-45.06082725060826,24.39437123392218
ALPN,2,,Healthcare,11102430.939102173,89.68656382261767,,,9.0,1078298880.0,-1.29,-14.387596899224805,70.9563575295073
ALSN,3,1.5700001000000001,Consumer Cyclical,35119638.29956055,15.352105265474346,47.48877885863097,14.002284044070679,12.0,5237539840.0,7.04,8.313920454545455,7.56180718645456
ALT,0,,Healthcare,83918372.23381042,-73.83154040363323,,,7.0,502365248.0,-1.54,-6.071428571428571,103.55057099003356
ALTM,0,,Basic Materials,152652290.0,69.65287347366211,27.485373192723923,243.92091284674402,6.0,5855970304.0,,,16.740462951697168
ALTO,0,,Basic Materials,1871226.9069608052,22.615085627055244,3.147254366232675,-56.20415766001955,19.0,145427392.0,-0.61,-3.1311475409836067,130.35686763773987
ALTR,2,,Technology,41044761.74285889,10.38638498837422,76.11506097287544,13.54597560924976,7.0,6989433344.0,-0.21,-407.5714285714286,33.79834615531493
ALV,0,2.6700001,Consumer Cyclical,49123888.13964844,8.975255026162198,16.964313653633866,6.779978102309875,27.0,8413006336.0,4.83,21.076604554865423,11.904940395185617
ALVR,0,,Healthcare,2008325.0500261784,,,,4.0,76433616.0,-1.67,-0.40125748502994013,-71.14575763909103
